Dbp2.1	Dbp2.2	Dbp2.3
YIL148W	552	332	364
YIL147C	9	15	11
YIL145C	15	43	44
YIL142W	73	74	42
YIL137C	11	26	18
YIL133C	399	124	377
YIL130W	9	17	16
YIL129C	56	72	58
YIL128W	14	40	25
YIL126W	39	238	56
YIL125W	72	125	88
YIL124W	40	25	7
YIL123W	531	342	698
YIL121W	13	68	12
YIL119C	24	39	85
YIL118W	37	35	38
YIL117C	22	10	7
YIL116W	15	88	27
YIL115C	44	35	13
YIL111W	42	24	96
YIL109C	74	44	84
YIL106W	23	8	45
YIL105C	34	7	49
YIL101C	14	7	9
YIL094C	75	24	33
YIL093C	8	141	6
YIL090W	16	32	34
YIL083C	32	36	28
YIL078W	198	226	174
YIL075C	265	421	285
YIL074C	28	98	80
YIL069C	217	106	159
YIL062C	60	133	29
YIL056W	127	213	222
YIL053W	871	879	1274
YIL052C	317	90	358
YIL051C	210	168	236
YIL050W	44	103	76
YIL048W	99	63	105
YIL047C	41	117	23
YIL041W	28	26	55
YIL039W	16	139	13
YIL038C	40	25	17
YIL036W	53	85	115
YIL035C	24	62	61
YIL034C	72	7	115
YIL033C	112	18	73
YIL031W	22	9	17
YIL030C	142	29	137
YIL027C	40	8	17
YIL022W	87	312	105
YIL018W	706	496	936
YIL015W	81	82	49
YIL002W-A	30	116	8
YIR004W	45	19	41
YIR006C	213	373	250
YIR010W	6	10	26
YIR012W	21	7	29
YIR023W	9	66	17
YJL213W	43	220	13
YJL212C	11	19	15
YJL207C	73	215	42
YJL201W	11	9	11
YJL198W	44	105	134
YJL193W	27	50	30
YJL191W	117	58	425
YJL190C	371	344	311
YJL189W	368	416	530
YJL186W	25	96	62
YJL183W	21	13	46
YJL177W	378	214	335
YJL174W	93	59	79
YJL172W	77	111	56
YJL171C	195	434	395
YJL168C	13	7	38
YJL167W	27	14	70
YJL165C	158	181	101
YJL164C	26	80	86
YJL159W	1888	859	2233
YJL158C	428	229	495
YJL154C	88	111	83
YJL151C	88	90	73
YJL143W	60	130	68
YJL141C	59	141	111
YJL140W	71	17	48
YJL138C	254	223	262
YJL136C	343	76	284
YJL130C	430	630	462
YJL128C	51	76	74
YJL127C-B	25	18	14
YJL124C	29	27	41
YJL123C	13	188	46
YJL122W	42	19	21
YJL121C	19	7	25
YJL117W	133	36	66
YJL111W	55	41	48
YJL109C	153	72	213
YJL108C	47	51	23
YJL107C	79	150	192
YJL101C	21	14	39
YJL094C	63	30	54
YJL092W	7	64	21
YJL091C	9	33	12
YJL083W	7	78	76
YJL082W	19	127	39
YJL080C	326	437	424
YJL079C	29	231	52
YJL078C	54	23	7
YJL076W	116	48	121
YJL063C	18	21	9
YJL062W	14	128	15
YJL061W	50	28	93
YJL060W	19	60	27
YJL052W	341	336	122
YJL050W	37	49	105
YJL048C	27	51	12
YJL047C-A	120	130	169
YJL047C	10	58	8
YJL044C	14	58	10
YJL042W	126	550	115
YJL041W	146	93	77
YJL039C	162	188	112
YJL034W	751	688	538
YJL033W	44	7	19
YJL031C	7	42	12
YJL030W	9	94	6
YJL029C	28	72	78
YJL026W	168	174	103
YJL020C	22	47	69
YJL016W	14	14	17
YJL014W	95	58	31
YJL013C	26	17	12
YJL012C	307	295	217
YJL008C	101	71	44
YJL005W	212	128	206
YJL004C	29	14	6
YJL003W	21	18	7
YJL002C	109	47	84
YJL001W	162	130	78
YJR001W	53	140	32
YJR002W	24	147	23
YJR005W	37	48	34
YJR007W	72	70	139
YJR009C	2259	1441	1620
YJR010C-A	17	25	6
YJR015W	30	44	21
YJR016C	413	493	525
YJR042W	15	78	8
YJR045C	1083	556	868
YJR046W	33	216	42
YJR059W	67	175	40
YJR064W	71	25	64
YJR065C	88	219	53
YJR066W	90	28	173
YJR070C	11	23	27
YJR076C	37	97	8
YJR077C	57	38	59
YJR080C	6	7	15
YJR088C	38	16	36
YJR090C	55	27	35
YJR091C	170	105	476
YJR094W-A	208	152	303
YJR101W	64	12	38
YJR103W	32	83	6
YJR104C	219	337	160
YJR105W	182	76	82
YJR106W	14	26	43
YJR109C	12	13	52
YJR112W	9	15	13
YJR117W	28	7	41
YJR121W	190	186	128
YJR123W	1051	643	984
YJR131W	31	40	33
YJR132W	150	39	68
YJR135W-A	13	24	32
YJR137C	10	8	13
